Region,Country,Item Type,Sales Channel,Order Priority,Order Date,Order ID,Ship Date,UnitsSold,UnitPrice,UnitCost,TotalRevenue,TotalCost,TotalProfit
Sub-Saharan Africa,South Africa,Fruits,Offline,M,07/27/2012,443368995,07/28/2012,1593,9.33,6.92,14862.69,11023.56,3839.13
Middle East and North Africa,Morocco,Clothes,Online,M,09/14/2013,667593514,10/19/2013,4611,109.28,35.84,503890.08,165258.24,338631.84
Australia and Oceania,Papua New Guinea,Meat,Offline,M,05/15/2015,940995585,06/04/2015,360,421.89,364.69,151880.4,131288.4,20592
Sub-Saharan Africa,Djibouti,Clothes,Offline,H,05/17/2017,880811536,07/02/2017,562,109.28,35.84,61415.36,20142.08,41273.28
Europe,Slovakia,Beverages,Offline,L,10/26/2016,174590194,12/04/2016,3973,47.45,31.79,188518.85,126301.67,62217.18
Asia,Sri Lanka,Fruits,Online,L,11/07/2011,830192887,12/18/2011,1379,9.33,6.92,12866.07,9542.68,3323.39
Sub-Saharan Africa,Seychelles ,Beverages,Online,M,01/18/2013,425793445,02/16/2013,597,47.45,31.79,28327.65,18978.63,9349.02
Sub-Saharan Africa,Tanzania,Beverages,Online,L,11/30/2016,659878194,01/16/2017,1476,47.45,31.79,70036.2,46922.04,23114.16
Sub-Saharan Africa,Ghana,Office Supplies,Online,L,03/23/2017,601245963,04/15/2017,896,651.21,524.96,583484.16,470364.16,113120
Sub-Saharan Africa,Tanzania,Cosmetics,Offline,L,05/23/2016,739008080,05/24/2016,7768,437.2,263.33,3396169.6,2045547.44,1350622.16
Asia,Taiwan,Fruits,Offline,M,02/09/2014,732588374,02/23/2014,8034,9.33,6.92,74957.22,55595.28,19361.94
Middle East and North Africa,Algeria,Cosmetics,Online,M,02/18/2011,761723172,02/24/2011,9669,437.2,263.33,4227286.8,2546137.77,1681149.03
Asia,Singapore,Snacks,Online,C,01/28/2013,176461303,02/07/2013,7676,152.58,97.44,1171204.08,747949.44,423254.64
Australia and Oceania,Papua New Guinea,Clothes,Offline,L,06/20/2011,647164094,07/14/2011,9092,109.28,35.84,993573.76,325857.28,667716.48
Asia,Vietnam,Personal Care,Online,M,04/04/2010,314505374,05/06/2010,7984,81.73,56.67,652532.32,452453.28,200079.04
Sub-Saharan Africa,Uganda,Personal Care,Online,M,06/19/2014,539471471,07/21/2014,451,81.73,56.67,36860.23,25558.17,11302.06
Sub-Saharan Africa,Zimbabwe,Office Supplies,Offline,C,03/28/2011,953361213,04/08/2011,9623,651.21,524.96,6266593.83,5051690.08,1214903.75
Sub-Saharan Africa,Ethiopia,Cosmetics,Online,M,07/07/2011,807785928,07/25/2011,662,437.2,263.33,289426.4,174324.46,115101.94
Europe,France,Cosmetics,Online,M,12/07/2015,324669444,01/18/2016,5758,437.2,263.33,2517397.6,1516254.14,1001143.46
Central America and the Caribbean,The Bahamas,Personal Care,Online,C,01/19/2011,246248090,02/21/2011,9137,81.73,56.67,746767.01,517793.79,228973.22
Central America and the Caribbean,Haiti,Office Supplies,Online,C,12/31/2010,485070693,01/31/2011,2052,651.21,524.96,1336282.92,1077217.92,259065
Central America and the Caribbean,Nicaragua,Household,Online,C,10/28/2015,573998582,12/07/2015,7791,668.27,502.54,5206491.57,3915289.14,1291202.43
Asia,Turkmenistan,Vegetables,Online,M,04/13/2015,116205585,06/02/2015,6670,154.06,90.93,1027580.2,606503.1,421077.1
Europe,United Kingdom,Cosmetics,Online,L,05/01/2015,135178029,05/16/2015,1038,437.2,263.33,453813.6,273336.54,180477.06
Central America and the Caribbean,Dominican Republic,Baby Food,Offline,H,08/25/2011,824714744,09/24/2011,274,255.28,159.42,69946.72,43681.08,26265.64
Asia,China,Office Supplies,Online,M,02/10/2016,198927056,03/29/2016,5791,651.21,524.96,3771157.11,3040043.36,731113.75
Sub-Saharan Africa,Uganda,Cosmetics,Online,M,02/28/2015,842238795,03/15/2015,6031,437.2,263.33,2636753.2,1588143.23,1048609.97
Middle East and North Africa,Kuwait,Household,Offline,C,06/13/2011,459386289,07/21/2011,1466,668.27,502.54,979683.82,736723.64,242960.18
Middle East and North Africa,United Arab Emirates,Office Supplies,Online,M,06/23/2012,425418365,07/06/2012,9603,651.21,524.96,6253569.63,5041190.88,1212378.75
Europe,Estonia,Household,Offline,H,09/01/2011,835696351,10/21/2011,9976,668.27,502.54,6666661.52,5013339.04,1653322.48
Asia,Malaysia,Beverages,Online,M,11/13/2014,955894076,12/28/2014,9154,47.45,31.79,434357.3,291005.66,143351.64
Australia and Oceania,Vanuatu,Fruits,Online,C,11/03/2013,571997869,11/11/2013,5735,9.33,6.92,53507.55,39686.2,13821.35
Asia,India,Snacks,Online,L,10/10/2012,440306556,11/20/2012,5349,152.58,97.44,816150.42,521206.56,294943.86
Australia and Oceania,Samoa ,Household,Online,L,12/05/2016,937431466,12/08/2016,5657,668.27,502.54,3780403.39,2842868.78,937534.61
Asia,Kazakhstan,Snacks,Online,L,09/08/2013,710296428,10/25/2013,1352,152.58,97.44,206288.16,131738.88,74549.28
Europe,Czech Republic,Cosmetics,Online,H,03/22/2014,726137769,04/26/2014,9157,437.2,263.33,4003440.4,2411312.81,1592127.59
